"date","total"
2004-01-31,382103702
2004-02-29,499199103
2004-03-31,584253646
2004-04-30,539072350
2004-05-31,570985769
2004-06-30,495408321
2004-07-31,527026720
2004-08-31,550351470
2004-09-30,535091393
2004-10-31,572339167
2004-11-30,613438249
2004-12-31,530657644
2005-01-31,401560895
2005-02-28,628692758
2005-03-31,559231558
2005-04-30,542175505
2005-05-31,543641153
2005-06-30,502394632
2005-07-31,571845722
2005-08-31,594922615
2005-09-30,572718163
2005-10-31,581553716
2005-11-30,582259310
2005-12-31,507744333
2006-01-31,432104179
2006-02-28,567238045
2006-03-31,641856236
2006-04-30,549549061
2006-05-31,601629646
2006-06-30,593962595
2006-07-31,632202265
2006-08-31,641144866
2006-09-30,628841438
2006-10-31,617752968
2006-11-30,610987681
2006-12-31,558236926
2007-01-31,466462231
2007-02-28,525120188
2007-03-31,691818499
2007-04-30,554257072
2007-05-31,643171437
2007-06-30,631330057
2007-07-31,603789972
2007-08-31,752807488
2007-09-30,710908634
2007-10-31,846196632
2007-11-30,792607483
2007-12-31,804139778
2008-01-31,652799069
2008-02-29,799116335
2008-03-31,689417309
2008-04-30,865548178
2008-05-31,701343907
2008-06-30,953482609
2008-07-31,871351809
2008-08-31,1054623514
2008-09-30,857456530
2008-10-31,942145857
2008-11-30,820571373
2008-12-31,787459828
2009-01-31,585230432
2009-02-28,701529718
2009-03-31,918104482
2009-04-30,685864639
2009-05-31,781426504
2009-06-30,710869530
2009-07-31,731321890
2009-08-31,758877272
2009-09-30,826229098
2009-10-31,762843037
2009-11-30,882736405
2009-12-31,786616568
2010-01-31,674651947
2010-02-28,747061303
2010-03-31,958752002
2010-04-30,735587698
2010-05-31,919847799
2010-06-30,866264954
2010-07-31,826701805
2010-08-31,885147937
2010-09-30,840527599
2010-10-31,883006690
2010-11-30,919062383
2010-12-31,768578050
