"date","month_tot"
2000-01-31,1776919889
2000-02-29,2270429129
2000-03-31,2527054885
2000-04-30,2361452631
2000-05-31,2569033252
2000-06-30,2450542250
2000-07-31,2321120027
2000-08-31,2376018772
2000-09-30,2437630705
2000-10-31,2717670280
2000-11-30,2795668296
2000-12-31,2653594997
2001-01-31,2336418165
2001-02-28,2587179125
2001-03-31,2930009229
2001-04-30,2805686535
2001-05-31,3230439943
2001-06-30,2808449800
2001-07-31,2759325381
2001-08-31,2641148882
2001-09-30,2614449510
2001-10-31,2726909974
2001-11-30,2669645128
2001-12-31,2560321532
2002-01-31,2261506984
2002-02-28,2622803132
2002-03-31,2994052902
2002-04-30,2771909898
2002-05-31,3093191551
2002-06-30,2616389993
2002-07-31,2549382405
2002-08-31,2387792378
2002-09-30,2427801207
2002-10-31,2469421055
2002-11-30,2451500255
2002-12-31,2387984602
2003-01-31,2039349410
2003-02-28,2310405550
2003-03-31,2766247102
2003-04-30,2494389177
2003-05-31,2744951769
2003-06-30,2261926956
2003-07-31,2301537152
2003-08-31,2301485817
2003-09-30,2200992745
2003-10-31,2290624948
2003-11-30,2391216612
2003-12-31,2294110118
2004-01-31,2032796295
2004-02-29,2504164986
2004-03-31,2781736050
2004-04-30,2691395607
2004-05-31,3378483813
2004-06-30,2695892114
2004-07-31,2465247331
2004-08-31,2365641755
2004-09-30,2156754202
2004-10-31,2489224111
2004-11-30,2609839504
2004-12-31,2540730740
2005-01-31,2252426665
2005-02-28,2648296614
2005-03-31,2794324900
2005-04-30,2801004108
2005-05-31,2943696620
2005-06-30,2550717936
2005-07-31,2426263434
2005-08-31,2360914116
2005-09-30,2352508990
2005-10-31,2455696997
2005-11-30,2580484177
2005-12-31,2650969634
2006-01-31,2199098566
2006-02-28,2595135137
2006-03-31,3181233729
2006-04-30,3016965268
2006-05-31,3639320779
2006-06-30,2971874102
2006-07-31,3020356105
2006-08-31,2732836836
2006-09-30,2824062679
2006-10-31,2717064806
2006-11-30,2788816701
2006-12-31,2946787993
2007-01-31,2483864806
2007-02-28,2847306905
2007-03-31,3313750154
2007-04-30,3169381722
2007-05-31,3349990699
2007-06-30,2739401893
2007-07-31,2640668783
2007-08-31,2660825914
2007-09-30,2932976619
2007-10-31,3367920105
2007-11-30,3368356096
2007-12-31,3682278429
2008-01-31,3083488518
2008-02-29,3698939543
2008-03-31,3431313296
2008-04-30,3826155801
2008-05-31,3741267598
2008-06-30,3593955606
2008-07-31,3431915482
2008-08-31,3574762714
2008-09-30,3173002222
2008-10-31,3825863033
2008-11-30,3680596758
2008-12-31,3838961943
2009-01-31,3172202817
2009-02-28,3441554562
2009-03-31,4052640735
2009-04-30,3641414559
2009-05-31,3962478702
2009-06-30,3232895264
2009-07-31,3172680634
2009-08-31,2744878422
2009-09-30,2822174578
2009-10-31,2955342031
2009-11-30,3060984762
2009-12-31,3412943164
2010-01-31,3154448602
2010-02-28,3319987179
2010-03-31,4075618846
2010-04-30,3960324660
2010-05-31,4197023482
2010-06-30,3793062976
2010-07-31,3553375807
2010-08-31,3129838208
2010-09-30,3171664736
2010-10-31,3683286415
2010-11-30,3662187585
2010-12-31,3828470046
2011-01-31,3306376396
2011-02-28,3860067650
2011-03-31,4618681756
2011-04-30,4685711954
2011-05-31,4618174010
2011-06-30,3954441720
2011-07-31,3707599515
2011-08-31,3431408060
2011-09-30,3441832820
2011-10-31,3886549564
2011-11-30,3908117350
2011-12-31,4282796384
2012-01-31,3726830894
2012-02-29,3617968870
2012-03-31,4206797768
2012-04-30,3869698210
2012-05-31,4430536141
2012-06-30,4177926888
2012-07-31,4044069095
2012-08-31,3309456770
2012-09-30,3287453264
2012-10-31,3463730310
2012-11-30,3827591138
2012-12-31,4101997798
2013-01-31,3347037981
2013-02-28,3893052249
2013-03-31,4407814681
2013-04-30,3942989338
2013-05-31,4075287230
2013-06-30,4003810284
2013-07-31,3827899644
2013-08-31,3296464103
2013-09-30,3817109089
2013-10-31,4241038239
2013-11-30,4442276114
2013-12-31,4748891148
2014-01-31,4068202741
2014-02-28,4531450064
2014-03-31,5032540734
2014-04-30,4406488821
2014-05-31,4573821833
2014-06-30,4174953895
2014-07-31,3684319949
2014-08-31,3533309300
2014-09-30,3616123559
2014-10-31,4010951202
2014-11-30,4040642551
2014-12-31,4401836601
2015-01-31,3680849221
2015-02-28,3887048559
2015-03-31,4904798460
2015-04-30,4134077905
2015-05-31,4354146229
2015-06-30,4148059645
2015-07-31,4168609773
2015-08-31,3710311790
2015-09-30,3676655263
2015-10-31,3811911190
2015-11-30,4074415239
2015-12-31,4422667502
